Abbreviation	Abbreviation VC	#entriesVC[22/03/04]	FullName	Group	DCS id	inTimeList	inTopicList	inVedicCorpus	numChar	School	Śākhā	Source	PageNo	Comment
AĀ	AA	480	Aitareya-Āraṇyaka	Ā		yes		yes	93926	RV	Aitareya			
AB	AB	1816	Aitareyabrāhmaṇa	B	471	yes	yes	yes	406215	RV	Aitareya			
ĀgnivGS			Agniveśyagṛhyasūtra	GS		yes		yes	228173	Black YV				
ĀpDhS	ApDh	49	Āpastambadharmasūtra	DhS	550	yes	yes	yes	101504	Black YV				
ĀpGS	ApG	48	Āpastambagṛhyasūtra	GS	318	yes	yes	yes	28903	Black YV	Taittirīya	Hillebrandt 1897	28	
ĀpMP	ApMB	1865	Āpastambamantrapāṭha	GS				no		Black YV	Taittirīya			
ĀpŚS	ApŚ	7617	Āpastambaśrautasūtra	ŚS	504	yes	yes	yes	719131	Black YV	Taittirīya	Hillebrandt 1897	28	
ĀrṣB			Ārṣeyabrāhmana	B				no		SV				
ĀrṣK			Ārṣeyakalpa	KS				no		SV		Gonda 1975	534f.	
ĀS	ArS	199	Āraṇyasaṃhitā (Āraṇyakasaṃhitā)	other				no		SV				
ĀśvGS	AG	620	Āśvalāyanagṛhyasūtra	GS	319	yes	yes	yes	60257	RV	Āśvalāyana	Hillebrandt 1897	24	
ĀśvŚS	AŚ	3337	Āśvalāyanaśrautasūtra	ŚS	508	yes		yes	327697	RV	Āśvalāyana	Hillebrandt 1897	24	
AthPrāy			Atharvaprayaścittāni	other				yes	78753	AV				
AU	AU	4	Aitareya-Upaniṣad	U	421	yes		yes	7677	RV				
AVP	AVP	14863	Atharvaveda, Paippalāda recension	S	468	yes		yes	1241155	AV	Paippalāda			
AVPariś			Atharvavedapariśiṣṭas	other	515			yes	414617	AV				
AVŚ	AVŚ	20998	Atharvaveda, Śaunaka recension	S	464	yes		yes	764231	AV	Śaunaka			
BĀU	BṛhU	342	Bṛhadāraṇyaka-Upaniṣad	U	439	yes		yes	130211	White YV				part of ŚB
BaudhDhS	BDh	501	Baudhāyanadharmasūtra	DhS	402	yes	yes	yes	146958	Black YV				
BaudhGS			Baudhāyanagṛhyasūtra	GS	330	yes	yes [parts]	yes	363357	Black YV		Hillebrandt 1897	28	
BaudhGPS			Baudhāyanagṛhyaparibhāṣasūtra	other								Gonda 1977	548	
BaudhGŚS			Baudhāyanagṛhyapariśiṣṭasūtra											
BaudhŚS	BaudhŚ	8930	Baudhāyanaśrautasūtra	ŚS	495	yes	yes [parts]	yes	1587465	Black YV	Taittirīya	Hillebrandt 1897	28	
BhārGS			Bhāradvājagṛhyasūtra	GS	329	yes	yes	yes	78493	Black YV		Hillebrandt 1897	28	
BhārŚS	BhārŚ	2094	Bhāradvājaśrautasūtra	ŚS	538	yes	yes	part	344120	Black YV	Taittirīya	Hillebrandt 1897	28	
ChU	ChU	92	Chāndogya-Upaniṣad	U	365	yes		yes	115150	SV				
DB	DB	6	Devatādhyāyabrāhmaṇa (Daivatābrāhmaṇa)	B				yes	5770	SV				
DrāhŚS			Drāhyāyaṇaśrautasūtra	ŚS		yes		no		SV				
GautDhS	GDh	60	Gautamadharmasūtra	DhS	393	yes	yes	yes	761197	SV				
GB	GB	789	Gopathabrāhmaṇa	B	503	yes		yes	319457	AV	Śaunaka			
GobhGS	GG	341	Gobhilagṛhyasūtra	GS	136	yes	yes	yes	61175	SV		Gonda 1977	609	
HirGS	HG	1451	Hiraṇyakeśigṛhyasūtra	GS	313	yes	yes	yes	77224	Black YV		Hillebrandt 1897	28	
HirŚS	HirŚ	415	Hiraṇyakeśiśrautasūtra	ŚS		yes	yes	part	237612	Black YV	Taittirīya			
ĪU	ĪśāU	62	Īśā-Upaniṣad	U				yes	3777	White YV				
JaimGS	JG	684	Jaiminīyagṛhyasūtra	GS	265	yes	yes	yes	120176	SV	Jaiminīya	Gonda 1977	607	
JaimŚS			Jaiminīyaśrautasūtra	ŚS		yes		no		SV	Jaiminīya	Gonda 1977	542	
JB	JB	2100	Jaiminīyabrāhmaṇa	B	479	yes		yes	1239557	SV	Jaiminīya			
JUB	JUB	151	Jaiminīya-Upaniṣad-Brāhmaṇa	B	516	yes		yes	157182	SV	Jaiminīya			
KapKS			Kapiṣṭhalakaṭhasaṃhitā	S				no		Black YV				
KarmaP	Karmap	27	Karmapradīpa	other				no		SV				
KaṭhĀ	KA	792	Kaṭha-Āraṇyaka	Ā		yes		yes	54917	Black YV				
KāṭhB			Kāṭhaka-Brāhmaṇa	B				yes	1259069	Black YV				
KāṭhGS	KāṭhGS		Kāṭhakagṛhyasūtra	GS	362	yes	yes	yes	103496	Black YV		Gonda 1977	598	
KaṭhU	KU	44	Kaṭha-Upaniṣad	U	457			yes	17191	Black YV				
KātyŚS	KŚ	1989	Kātyāyanaśrautasūtra	ŚS	509	yes	yes	part	62767	White YV	Vājasaneya	Hillebrandt 1897	27	
KātyŚulbaS			Kātyāyanaśulbasūtra	ŚulbaS				yes	6541	White YV				
KauṣĀ			Kauṣītaki-Āraṇyaka	Ā		yes		no		RV	Kauṣītaki			
KauṣB	KB	878	Kauṣītakībrāhmaṇa	B	519	yes	yes	yes	379528	RV	Kauṣītaki			
KauṣGS			Kauṣītakigṛhyasūtra	GS	540	yes		yes	63706	RV	Kauṣītaki	Gonda 1977	606	
KauśS	Kauś	2810	Kauśikasūtra	GS	71	yes		yes	288205	AV				
KauṣU	KBU	87	Kauṣītaki-Upaniṣad (Kauṣītakbrāhmaṇa-Upaniṣad)	U	459			yes	40817	RV	Kauṣītaki			
KauthGS			Kauthumagṛhyasūtra	GS		yes		yes	25794	SV	Kauthumin			
KenaU			Kena-Upaniṣad	U				yes	4838	SV				
KhādGS	KhG	191	Khādiragṛhyasūtra	GS	316	yes	yes	yes	24057	SV		Gonda 1977	611	
KS	KS	12036	Kāṭhakasaṃhitā	S	543	yes	yes	yes	148514	Black YV	Kaṭha			
LāṭŚS	LŚ	734	Lāṭyāyana-Śrautasūtra	ŚS		yes		no		SV	Kauthumin			
Mahānāmnyaḥ	Mahānāmnyaḥ		Mahānāmnyaḥ	other						SV				
ManB	SMB	865	Mantrabrāhmaṇa (Chāndogyabrāhmaṇa, Sāmamantrabrāhmaṇa)	other				yes	48809	SV				
MāṇḍU			Māṇḍūkya-Upaniṣad	U				yes	3285	AV				
MānGS	MG	987	Mānavagṛhyasūtra	GS	361	yes		yes	59239	Black YV		Hillebrandt 1897	28	
MānŚS	MŚ	4502	Mānavaśrautasūtra	ŚS		yes		no		Black YV	Maitrāyaṇa			
MānŚulbaS			Mānavaśulbasūtra	ŚulbaS				yes	24423	Black YV				
MNU	MahānU	892	Mahānārāyaṇa-Upaniṣad	U				no						≈ TA 10
MS	MS	13393	Maitrāyaṇīsaṃhitā	S	499		yes	yes	685451	Black YV	Maitrāyaṇa			
MU	MU		Maitrāyaṇīya-Upaniṣad	U										
MuṇḍU	MuṇḍU	19	Muṇḍaka-Upaniṣad	U	458	yes	yes	yes	12729	AV				
Nir	N	1911	Nirukta	other	367			yes	266838					
Nigh			Nighaṇṭu	other										
PārGS	PG	991	Pāraskaragṛhyasūtra	GS	312	yes	yes	yes	72422	White YV		Gonda 1977	602	
PB	PB	894	Pañcaviṃśabrāhmaṇa	B	435	yes	yes	yes	376353	SV	Kauthumin			
PraśU	PraśU	9	Praśna-Upaniṣad	U			yes	yes	12098	AV				
ṚgVidh	Rvidh	230	Ṛgvidhāna	other	552			yes	94438	RV				
ṚV	RV	39455	Rigveda	S	450	yes		yes	1297630	RV	Śākalya			
ṚVKh	RVKh	687	Ṛgvedakhilas	S	497	yes		yes	97600	RV				
ṚVPrāt	RVPrātiśākhya	1	Ṛgvedaprātiśākhya	other				yes	154040	RV				
ṢaḍvB	ṢB	220	Ṣaḍviṃśabrāhmaṇa	B				no		SV				
ŚāṅkhĀ	ŚāṅkhĀ	230	Śāṅkhāyana-Āraṇyaka	Ā	440	yes		yes	87997	RV	Śāṅkhāyana			
ŚāṅkhGS	ŚG	916	Śāṅkhāyanagṛhyasūtra	GS	353	yes	yes	yes	135801	RV	Śāṅkhāyana	Gonda 1977	605	
ŚāṅkhŚS	ŚŚ	4463	Śāṅkhāyanaśrautasūtra	ŚS	547	yes	yes	yes	507728	RV	Śāṅkhāyana	Hillebrandt 1897	24	
ŚBK	ŚBK	3	Śatapathabrāhmaṇa, Kānva recension	B				no		White YV	Kāṇva			
ŚBM	ŚB	6208	Śatapathabrāhmaṇa, Mādhyaṃdina recension	B	394	yes	yes	yes	1723187	White YV	Vājasaneya			
ŚK			Śāntikalpa	other				no						
SUB	SaṃhitopaniṣadB	11	Saṃhitopaniṣadbrāhmaṇa	B				no		SV				
SupA	Suparṇ	15	Suparṇādhyāya	other				yes		RV		Brereton 2019	535–544	
ŚvetU	ŚvetU	77	Śvetāśvatara-Upaniṣad	U	366	yes		yes	17187	Black YV		Oberlies 1995	65–68	
SVidhB	Svidh	280	Sāmavidhānabrāhmaṇa	B				no		SV				
SVJ	SV	6138	Sāmavedasaṃhitā, Jaiminīya recension	S				no		SV				
SVK			Sāmavedasaṃhitā, Kauthuma recension	S				no		SV				
TĀ	TA	4229	Taittirīya-Āraṇyaka	Ā	546	yes	yes	yes	174497	Black YV				
TB	TB	8316	Taittirīyabrāhmaṇa	B	526	yes	yes	yes	632089	Black YV				
TPrāt			Taittirīyaprātiśākhya	other				yes	70165	Black YV	Taittirīya			
TS	TS	11322	Taittirīyasaṃhitā	S	510	yes		yes	929921	Black YV	Taittirīya			
TU	TU	142	Taittirīya-Upaniṣad	U	460	yes		yes	30998	Black YV				
VādhGS			Vādhūlagṛhyasūtra	GS		yes		yes	158796	Black YV				
VādhŚS			Vādhūlaśrautasūtra	ŚS		yes	yes	yes	936522	Black YV				
VaikhDhS			Vaikhānasadharmasūtra	DhS	125	yes		yes	49665	Black YV				
VaikhGS			Vaikhānasagṛhyasūtra	GS	239	yes		yes	117396	Black YV		Hillebrandt 1897	28	
VaikhŚS	VaikhŚ	17	Vaikhānasaśrautasūtra	ŚS		yes	yes	part	128553	Black YV	Taittirīya			
VaitS	Vait	1344	Vaitānasūtra	ŚS	535	yes	yes	yes	98307	AV				
VājPrāti			Vājasaneyiprātiśākhya	other				yes	50584	White YV				
VaṃśB			Vāṃśabrāhmaṇa	B				yes	4052	SV				
VārGS	VārG	539	Vārāhagṛhyasūtra	GS	130	yes	yes	yes	36261	Black YV				
VārŚS	VārŚ	5	Vārāhaśrautasūtra	ŚS		yes	yes	no		Black YV				
VasDhS	VāDh	85	Vasiṣṭhadharmasūtra	DhS		yes	yes	yes	102115	RV				
VSK	VSK	772	Vājasaneyisaṃhitā, Kāṇva recension	S				no		White YV				
VSM	VS	9912	Vājasaneyisaṃhitā, Mādhyaṃdina recension	S	523	yes	yes	yes	311922	White YV	Vājasaneya			
Sarv			Sarvānukramaṇī	other				no						